Qstd, R, lpf_tau, attenuation_lpf, amp_steady_kf, amp_steady, attenuation, tau_3db, tau_45, omega_90,
 0.015000, 0.001000, 0.000010, 0.198759, 0.014215, 0.082177, 0.172978, 0.098342, 0.228514,15.107806,
 0.030000, 0.001000, 0.000010, 0.198759, 0.019193, 0.082177, 0.233558, 0.577849, 0.577849,20.834639,
 0.001500, 0.001000, 0.000010, 0.198759, 0.006360, 0.082177, 0.077394, 0.415446, 0.577849, 7.418550,
 0.015000, 0.002000, 0.000010, 0.198759, 0.011251, 0.082177, 0.136914, 0.178183, 0.312081,15.107806,
 0.015000, 0.000100, 0.000010, 0.198759, 0.030310, 0.082177, 0.368840, 0.577849, 0.577849, 1.730557,
 0.030000, 0.000100, 0.000010, 0.198759, 0.035092, 0.082177, 0.427025, 0.577849, 0.577849, 1.730557,
 0.001500, 0.000100, 0.000010, 0.198759, 0.014215, 0.082177, 0.172978, 0.098342, 0.228514,15.107806,
 0.015000, 0.000010, 0.000010, 0.198759, 0.052856, 0.082177, 0.643194, 0.577849, 0.577849, 1.730557,
 0.030000, 0.000010, 0.000010, 0.198759, 0.062472, 0.082177, 0.760210, 0.577849, 0.577849, 1.730557,
 0.001500, 0.000010, 0.000010, 0.198759, 0.030310, 0.082177, 0.368840, 0.577849, 0.577849, 1.730557,
 0.001500, 0.001000, 0.000010, 0.198759, 0.006360, 0.082177, 0.077394, 0.415446, 0.577849, 7.418550,
 0.001500, 0.002000, 0.000010, 0.198759, 0.004836, 0.082177, 0.058850, 0.577849, 0.577849, 7.418550,
 0.001500, 0.000100, 0.000010, 0.198759, 0.014215, 0.082177, 0.172978, 0.098342, 0.228514,15.107806,
 1.500000, 0.000010, 0.000010, 0.198759, 0.081373, 0.082177, 0.990212, 0.577849, 0.577849, 1.730557,
