Qstd, R, lpf_tau, attenuation_lpf, attenuation, tau_3db, tau_45, omega_90,
 0.015000, 0.001000, 0.000010, 0.211277, 0.530120, 0.098342, 0.228514,15.107806,
 0.030000, 0.001000, 0.000010, 0.211277, 0.530121, 0.577849, 0.577849,20.834639,
 0.007500, 0.001000, 0.000010, 0.211277, 0.530120, 0.178183, 0.312081,15.107806,
 0.015000, 0.002000, 0.000010, 0.211277, 0.530061, 0.178183, 0.312081,15.107806,
 0.015000, 0.000500, 0.000010, 0.211277, 0.530136, 0.577849, 0.577849,20.834639,
 0.015000, 0.000500, 0.000010, 0.211277, 0.530136, 0.577849, 0.577849,20.834639,
 0.030000, 0.000500, 0.000010, 0.211277, 0.530139, 0.577849, 0.577849, 1.730557,
 0.007500, 0.000500, 0.000010, 0.211277, 0.530135, 0.098342, 0.228514,15.107806,
 0.015000, 0.001000, 0.000010, 0.211277, 0.530120, 0.098342, 0.228514,15.107806,
 0.015000, 0.000250, 0.000010, 0.211277, 0.530142, 0.577849, 0.577849, 1.730557,
 0.015000, 0.001000, 0.100000, 0.211277, 0.229415, 0.148451, 0.312081, 5.782794,
 0.030000, 0.001000, 0.100000, 0.211277, 0.227680, 0.104305, 0.265296, 7.418550,
 0.007500, 0.001000, 0.100000, 0.211277, 0.229903, 0.228514, 0.415446, 4.376096,
 0.015000, 0.002000, 0.100000, 0.211277, 0.229897, 0.228514, 0.415446, 4.376096,
 0.015000, 0.000500, 0.100000, 0.211277, 0.227682, 0.104305, 0.265296, 7.418550,
 0.015000, 0.000500, 0.100000, 0.211277, 0.227682, 0.104305, 0.265296, 7.418550,
 0.030000, 0.000500, 0.100000, 0.211277, 0.223011, 0.577849, 0.194219, 9.587263,
 0.007500, 0.000500, 0.100000, 0.211277, 0.229416, 0.148451, 0.312081, 5.782794,
 0.015000, 0.001000, 0.100000, 0.211277, 0.229415, 0.148451, 0.312081, 5.782794,
 0.015000, 0.000250, 0.100000, 0.211277, 0.223011, 0.577849, 0.194219, 9.587263,
 1.500000, 0.000010, 0.000010, 0.211277, 0.989380, 0.577849, 0.577849, 1.730557,
 1.500000, 0.000010, 0.050000, 0.211277, 0.328841, 0.577849, 0.056162,20.834639,
 1.500000, 0.000010, 0.100000, 0.211277, 0.230789, 0.042665, 0.122478,16.109534,
 1.500000, 0.000010, 0.150000, 0.211277, 0.202085, 0.052107, 0.161770,16.631907,
 1.500000, 0.000010, 0.250000, 0.211277, 0.178157, 0.132536, 0.265296,11.864872,
