time, Vca,
0.000000, 1.658057,
0.005320, 1.654834,
0.010547, 1.661279,
0.015835, 1.656445,
0.021133, 1.657251,
0.026329, 1.654834,
0.031554, 1.654028,
0.036790, 1.654834,
0.042071, 1.656445,
0.047271, 1.654028,
0.052546, 1.654834,
0.057759, 1.654834,
0.062977, 1.657251,
0.068192, 1.656445,
0.073409, 1.654834,
0.078594, 1.652417,
0.083795, 1.657251,
0.089061, 1.649194,
0.094282, 1.650806,
0.099617, 1.657251,
0.104848, 1.649194,
0.110062, 1.657251,
0.115375, 1.653223,
0.120701, 1.652417,
0.125917, 1.645972,
0.131122, 1.644360,
0.136316, 1.645166,
0.141630, 1.645166,
0.146832, 1.643555,
0.152114, 1.640332,
0.157317, 1.647583,
0.162553, 1.641138,
0.167842, 1.645166,
0.173034, 1.647583,
0.178262, 1.645166,
0.183496, 1.649194,
0.188798, 1.640332,
0.194000, 1.641943,
0.199359, 1.643555,
0.204577, 1.647583,
0.209783, 1.645166,
0.215057, 1.645972,
0.220311, 1.647583,
0.225535, 1.647583,
0.230740, 1.644360,
0.235912, 1.647583,
0.241190, 1.648389,
0.246392, 1.649194,
0.251658, 1.645972,
0.256860, 1.644360,
0.262057, 1.648389,
0.267320, 1.647583,
0.272531, 1.645972,
0.277755, 1.645972,
0.282954, 1.645166,
0.288138, 1.647583,
0.293361, 1.647583,
0.298715, 1.645972,
0.303928, 1.647583,
0.309109, 1.647583,
0.314440, 1.647583,
0.319778, 1.648389,
0.324965, 1.647583,
0.330138, 1.647583,
0.335271, 1.648389,
0.340559, 1.644360,
0.345764, 1.648389,
0.351036, 1.645972,
0.356244, 1.645166,
0.361499, 1.643555,
0.366810, 1.648389,
0.372026, 1.649194,
0.377247, 1.645972,
0.382477, 1.648389,
0.387682, 1.648389,
0.392961, 1.648389,
0.398302, 1.645166,
0.403550, 1.648389,
0.408767, 1.645972,
0.414066, 1.645972,
0.419271, 1.644360,
0.424513, 1.648389,
0.429764, 1.654028,
0.434976, 1.658057,
0.440268, 1.658862,
0.445498, 1.652417,
0.450778, 1.656445,
0.455970, 1.654028,
0.461190, 1.654834,
0.466490, 1.657251,
0.471688, 1.654834,
0.476895, 1.654834,
