time, Vcn, Von, VoVcn,
0.000000, 1.669336, 1.662085, -0.007251,
0.010211, 1.666919, 1.668530, 0.001611,
0.019994, 1.670142, 1.662891, -0.007251,
0.030114, 1.670142, 1.662085, -0.008057,
0.040333, 1.670947, 1.662085, -0.008862,
0.050365, 1.668530, 1.668530, 0.000000,
0.060330, 1.670142, 1.669336, -0.000806,
0.070494, 1.670947, 1.665308, -0.005640,
0.080555, 1.670142, 1.654834, -0.015308,
0.090666, 1.666113, 1.674976, 0.008862,
0.100545, 1.668530, 1.660474, -0.008057,
0.110658, 1.670142, 1.650000, -0.020142,
0.120783, 1.665308, 1.679004, 0.013696,
0.130882, 1.669336, 1.670947, 0.001611,
0.140891, 1.669336, 1.670142, 0.000806,
0.150781, 1.670947, 1.653223, -0.017725,
0.161004, 1.670142, 1.660474, -0.009668,
0.171190, 1.670947, 1.664502, -0.006445,
0.181338, 1.666919, 1.662085, -0.004834,
0.191429, 1.666113, 1.654834, -0.011279,
0.201546, 1.670142, 1.664502, -0.005640,
0.211659, 1.670947, 1.666113, -0.004834,
0.221780, 1.670142, 1.695117, 0.024976,
0.231864, 1.666919, 1.670142, 0.003223,
0.241877, 1.662891, 1.670947, 0.008057,
0.251787, 1.670142, 1.662085, -0.008057,
0.262000, 1.670142, 1.678198, 0.008057,
0.271885, 1.670142, 1.660474, -0.009668,
0.282101, 1.668530, 1.653223, -0.015308,
0.292161, 1.670142, 1.653223, -0.016919,
0.302215, 1.668530, 1.653223, -0.015308,
0.312331, 1.666919, 1.668530, 0.001611,
0.322112, 1.666919, 1.670947, 0.004028,
0.332218, 1.668530, 1.678198, 0.009668,
0.342328, 1.666113, 1.668530, 0.002417,
0.352132, 1.666919, 1.668530, 0.001611,
0.362114, 1.665308, 1.674976, 0.009668,
0.372000, 1.668530, 1.660474, -0.008057,
0.382213, 1.670142, 1.654834, -0.015308,
0.392339, 1.666919, 1.677393, 0.010474,
0.402214, 1.666919, 1.666919, 0.000000,
0.412131, 1.665308, 1.664502, -0.000806,
0.422218, 1.658862, 1.666113, 0.007251,
0.432227, 1.666113, 1.656445, -0.009668,
0.442437, 1.665308, 1.665308, 0.000000,
0.452219, 1.670142, 1.653223, -0.016919,
0.462401, 1.665308, 1.657251, -0.008057,
0.472535, 1.666919, 1.654834, -0.012085,
0.482673, 1.668530, 1.654834, -0.013696,
0.492783, 1.664502, 1.674976, 0.010474,
