time, Vcn, Von, VoVcn,
0.000000, 1.672559, 1.654028, -0.018530,
0.010127, 1.682227, 1.672559, -0.009668,
0.020239, 1.678198, 1.690283, 0.012085,
0.030332, 1.672559, 1.654028, -0.018530,
0.040459, 1.677393, 1.662085, -0.015308,
0.050681, 1.679004, 1.666919, -0.012085,
0.060793, 1.679004, 1.669336, -0.009668,
0.071002, 1.676587, 1.683032, 0.006445,
0.081004, 1.674976, 1.665308, -0.009668,
0.091113, 1.674976, 1.669336, -0.005640,
0.101232, 1.674976, 1.666113, -0.008862,
0.111346, 1.673364, 1.670947, -0.002417,
0.121456, 1.674170, 1.674976, 0.000806,
0.131667, 1.673364, 1.679810, 0.006445,
0.141569, 1.674170, 1.654028, -0.020142,
0.151806, 1.677393, 1.670142, -0.007251,
0.161940, 1.677393, 1.670947, -0.006445,
0.172123, 1.674976, 1.670142, -0.004834,
0.182337, 1.670142, 1.650806, -0.019336,
0.192452, 1.676587, 1.661279, -0.015308,
0.202674, 1.678198, 1.672559, -0.005640,
0.212793, 1.665308, 1.669336, 0.004028,
0.222666, 1.670142, 1.670947, 0.000806,
0.232661, 1.677393, 1.661279, -0.016113,
0.242786, 1.666919, 1.673364, 0.006445,
0.252788, 1.669336, 1.672559, 0.003223,
0.262691, 1.677393, 1.669336, -0.008057,
0.272893, 1.676587, 1.678198, 0.001611,
0.282790, 1.668530, 1.666113, -0.002417,
0.292884, 1.669336, 1.660474, -0.008862,
0.303006, 1.672559, 1.673364, 0.000806,
0.312890, 1.678198, 1.674170, -0.004028,
0.323006, 1.674976, 1.666113, -0.008862,
0.333239, 1.669336, 1.661279, -0.008057,
0.343350, 1.660474, 1.662085, 0.001611,
0.353346, 1.662891, 1.670142, 0.007251,
0.363357, 1.662085, 1.669336, 0.007251,
0.373240, 1.654834, 1.670947, 0.016113,
0.383235, 1.666919, 1.662891, -0.004028,
0.393335, 1.662085, 1.657251, -0.004834,
0.403571, 1.665308, 1.645166, -0.020142,
0.413656, 1.665308, 1.666919, 0.001611,
0.423452, 1.662891, 1.654834, -0.008057,
0.433674, 1.660474, 1.658057, -0.002417,
0.443800, 1.669336, 1.654834, -0.014502,
0.454014, 1.666113, 1.662085, -0.004028,
0.464269, 1.666113, 1.666113, 0.000000,
0.474210, 1.668530, 1.670947, 0.002417,
0.484003, 1.665308, 1.669336, 0.004028,
0.493798, 1.668530, 1.662085, -0.006445,
0.503990, 1.665308, 1.674976, 0.009668,
0.513891, 1.668530, 1.674976, 0.006445,
0.523785, 1.668530, 1.662085, -0.006445,
0.533996, 1.662085, 1.653223, -0.008862,
0.544121, 1.670142, 1.641138, -0.029004,
0.554254, 1.664502, 1.662891, -0.001611,
0.564469, 1.670947, 1.670142, -0.000806,
0.574682, 1.672559, 1.660474, -0.012085,
0.584791, 1.669336, 1.666113, -0.003223,
0.594879, 1.666113, 1.665308, -0.000806,
0.605009, 1.670142, 1.674170, 0.004028,
0.614888, 1.666919, 1.662085, -0.004834,
0.625001, 1.670142, 1.661279, -0.008862,
0.635143, 1.666113, 1.658862, -0.007251,
