=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.12.14 18:16:06 =~=~=~=~=~=~=~=~=~=~=~=
************************************************************...temp init complete
Cx9000,cmd: Cx9000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->       9000,      uintl (  Cx)
unit_x, time, Von,
x_unit, 0.000000, 1.529150,
x_unit, 0.014233, 1.528345,
x_unit, 0.029237, 1.529150,
x_unit, 0.044003, 1.525122,
x_unit, 0.058006, 1.525928,
x_unit, 0.072004, 1.524316,
x_unit, 0.086072, 1.529956,
x_unit, 0.101006, 1.527539,
x_unit, 0.116928, 1.535596,
x_unit, 0.132004, 1.525122,
x_unit, 0.145238, 1.528345,
x_unit, 0.159234, 1.528345,
x_unit, 0.173004, 1.525122,
x_unit, 0.186631, 1.525928,
x_unit, 0.202239, 1.529150,
x_unit, 0.217183, 1.539624,
x_unit, 0.231235, 1.528345,
x_unit, 0.245003, 1.527539,
x_unit, 0.259005, 1.525122,
x_unit, 0.272237, 1.527539,
x_unit, 0.286311, 1.529956,
x_unit, 0.301239, 1.532373,
x_unit, 0.315007, 1.533179,
x_unit, 0.330011, 1.533984,
x_unit, 0.344242, 1.531567,
x_unit, 0.358239, 1.537207,
x_unit, 0.373243, 1.535596,
x_unit, 0.388238, 1.531567,
x_unit, 0.399294, 1.533179,
x_unit, 0.406209, 1.532373,
x_unit, 0.413109, 1.537207,
x_unit, 0.420931, 1.537207,
x_unit, 0.427909, 1.533984,
x_unit, 0.434836, 1.531567,
x_unit, 0.441898, 1.536401,
x_unit, 0.448847, 1.536401,
x_unit, 0.455837, 1.537207,
x_unit, 0.462869, 1.533179,
x_unit, 0.469928, 1.532373,
x_unit, 0.476889, 1.532373,
x_unit, 0.483885, 1.533179,
x_unit, 0.490905, 1.537207,
x_unit, 0.497957, 1.524316,
x_unit, 0.504754, 1.537207,
x_unit, 0.512810, 1.536401,
x_unit, 0.520899, 1.532373,
x_unit, 0.527899, 1.535596,
x_unit, 0.534849, 1.535596,
x_unit, 0.541903, 1.531567,
x_unit, 0.548903, 1.531567,
x_unit, 0.555853, 1.538013,
x_unit, 0.562878, 1.533179,
x_unit, 0.569905, 1.535596,
x_unit, 0.576866, 1.533984,
x_unit, 0.583801, 1.525928,
x_unit, 0.590813, 1.533179,
x_unit, 0.597876, 1.533984,
x_unit, 0.604703, 1.533984,
x_unit, 0.611650, 1.533179,
x_unit, 0.618490, 1.525122,
x_unit, 0.625334, 1.532373,
x_unit, 0.632870, 1.521899,
x_unit, 0.639963, 1.525122,
x_unit, 0.646955, 1.528345,
x_unit, 0.653910, 1.521899,
x_unit, 0.660906, 1.527539,
x_unit, 0.667897, 1.531567,
x_unit, 0.674924, 1.528345,
x_unit, 0.681907, 1.528345,
x_unit, 0.688906, 1.525122,
x_unit, 0.695852, 1.529956,
x_unit, 0.702702, 1.529956,
x_unit, 0.709534, 1.529150,
x_unit, 0.716434, 1.525928,
x_unit, 0.723261, 1.527539,
x_unit, 0.730100, 1.529150,
x_unit, 0.737542, 1.527539,
x_unit, 0.744497, 1.529150,
x_unit, 0.751336, 1.527539,
x_unit, 0.758238, 1.525928,
x_unit, 0.765305, 1.529956,
x_unit, 0.772338, 1.528345,
x_unit, 0.779312, 1.523511,
x_unit, 0.786351, 1.533179,
x_unit, 0.793318, 1.529956,
x_unit, 0.800302, 1.523511,
x_unit, 0.807153, 1.527539,
x_unit, 0.814089, 1.529956,
x_unit, 0.820854, 1.529150,
x_unit, 0.827633, 1.531567,
x_unit, 0.834412, 1.525928,
x_unit, 0.841316, 1.529956,
x_unit, 0.848734, 1.528345,
x_unit, 0.855427, 1.528345,
x_unit, 0.862458, 1.529150,
x_unit, 0.869584, 1.525122,
x_unit, 0.876619, 1.532373,
x_unit, 0.883613, 1.528345,
x_unit, 0.890657, 1.527539,
x_unit, 0.897709, 1.531567,
x_unit, 0.904545, 1.529956,
x_unit, 0.911431, 1.529150,
x_unit, 0.918262, 1.525122,
x_unit, 0.925096, 1.525928,
x_unit, 0.931892, 1.529150,
x_unit, 0.938837, 1.533984,
x_unit, 0.945653, 1.532373,
x_unit, 0.952418, 1.533179,
x_unit, 0.959845, 1.536401,
x_unit, 0.966900, 1.532373,
x_unit, 0.973903, 1.532373,
x_unit, 0.980910, 1.533984,
x_unit, 0.987953, 1.536401,
x_unit, 0.994907, 1.533179,
x_unit, 1.001895, 1.531567,
x_unit, 1.008750, 1.536401,
x_unit, 1.015661, 1.531567,
x_unit, 1.022420, 1.535596,
x_unit, 1.029193, 1.533984,
x_unit, 1.035961, 1.533179,
x_unit, 1.042874, 1.531567,
x_unit, 1.049704, 1.533984,
x_unit, 1.056541, 1.531567,
x_unit, 1.063485, 1.537207,
x_unit, 1.071083, 1.535596,
x_unit, 1.078079, 1.529956,
x_unit, 1.084982, 1.531567,
x_unit, 1.092021, 1.535596,
x_unit, 1.099091, 1.532373,
x_unit, 1.106056, 1.535596,
x_unit, 1.113081, 1.533179,
x_unit, 1.120001, 1.532373,
x_unit, 1.126949, 1.536401,
x_unit, 1.133892, 1.535596,
x_unit, 1.140876, 1.533179,
x_unit, 1.147838, 1.529956,
x_unit, 1.154771, 1.532373,
x_unit, 1.161765, 1.533984,
x_unit, 1.168769, 1.529956,
