Cx20000,cmd: Cx20000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->      20000,      uintl (  Cx)
unit_x, time, Vcn, Von, VoVcn,
x_unit, 0.000000, 1.658862, 1.602466, -0.056396,
x_unit, 0.012349, 1.658862, 1.596020, -0.062842,
x_unit, 0.024748, 1.658862, 1.598437, -0.060425,
x_unit, 0.037102, 1.656445, 1.574268, -0.082178,
x_unit, 0.049436, 1.658862, 1.603271, -0.055591,
x_unit, 0.061620, 1.658862, 1.590381, -0.068481,
x_unit, 0.073864, 1.658057, 1.603271, -0.054785,
x_unit, 0.086129, 1.656445, 1.596826, -0.059619,
x_unit, 0.098450, 1.658057, 1.594409, -0.063648,
x_unit, 0.110653, 1.657251, 1.596020, -0.061231,
x_unit, 0.123082, 1.654834, 1.607300, -0.047534,
x_unit, 0.135354, 1.657251, 1.606494, -0.050757,
x_unit, 0.147661, 1.650000, 1.594409, -0.055591,
x_unit, 0.159889, 1.657251, 1.570239, -0.087012,
x_unit, 0.172149, 1.656445, 1.600049, -0.056396,
x_unit, 0.184373, 1.657251, 1.607300, -0.049951,
x_unit, 0.196594, 1.656445, 1.604883, -0.051562,
x_unit, 0.208799, 1.652417, 1.594409, -0.058008,
x_unit, 0.221263, 1.656445, 1.600049, -0.056396,
x_unit, 0.233659, 1.652417, 1.599243, -0.053174,
x_unit, 0.245987, 1.656445, 1.595215, -0.061230,
x_unit, 0.258177, 1.648389, 1.596020, -0.052368,
x_unit, 0.270451, 1.649194, 1.600855, -0.048340,
x_unit, 0.282656, 1.648389, 1.612939, -0.035449,
x_unit, 0.294858, 1.650806, 1.608911, -0.041894,
x_unit, 0.307123, 1.650000, 1.590381, -0.059619,
x_unit, 0.319469, 1.649194, 1.596826, -0.052368,
x_unit, 0.331671, 1.647583, 1.596020, -0.051563,
x_unit, 0.343944, 1.649194, 1.596826, -0.052368,
x_unit, 0.356232, 1.648389, 1.594409, -0.053980,
x_unit, 0.368391, 1.650806, 1.575879, -0.074927,
x_unit, 0.380659, 1.649194, 1.596020, -0.053174,
x_unit, 0.392807, 1.649194, 1.595215, -0.053980,
x_unit, 0.405130, 1.648389, 1.600049, -0.048340,
x_unit, 0.417499, 1.650000, 1.596020, -0.053980,
x_unit, 0.429768, 1.650000, 1.587964, -0.062036,
x_unit, 0.442031, 1.648389, 1.594409, -0.053980,
x_unit, 0.454278, 1.650806, 1.600855, -0.049951,
x_unit, 0.466487, 1.650806, 1.628247, -0.022559,
x_unit, 0.478795, 1.649194, 1.593603, -0.055591,
x_unit, 0.490985, 1.649194, 1.589575, -0.059619,
x_unit, 0.503258, 1.650000, 1.599243, -0.050757,
x_unit, 0.515485, 1.654028, 1.593603, -0.060425,
x_unit, 0.527776, 1.650000, 1.591992, -0.058008,
x_unit, 0.540122, 1.653223, 1.596020, -0.057202,
x_unit, 0.552453, 1.650000, 1.603271, -0.046728,
x_unit, 0.564627, 1.660474, 1.599243, -0.061230,
x_unit, 0.576957, 1.658862, 1.569434, -0.089429,
x_unit, 0.589148, 1.658057, 1.604077, -0.053980,
x_unit, 0.601489, 1.654028, 1.587964, -0.066064,
x_unit, 0.613768, 1.657251, 1.631470, -0.025781,
x_unit, 0.626129, 1.657251, 1.566211, -0.091040,
x_unit, 0.638447, 1.653223, 1.607300, -0.045923,
x_unit, 0.650719, 1.650000, 1.600049, -0.049951,
x_unit, 0.662961, 1.652417, 1.596020, -0.056396,
x_unit, 0.675251, 1.652417, 1.619385, -0.033032,
x_unit, 0.687407, 1.654834, 1.603271, -0.051562,
x_unit, 0.699660, 1.654834, 1.575073, -0.079761,
x_unit, 0.711898, 1.656445, 1.600049, -0.056396,
x_unit, 0.724305, 1.658057, 1.595215, -0.062842,
x_unit, 0.736670, 1.657251, 1.600049, -0.057202,
x_unit, 0.748955, 1.658057, 1.600049, -0.058008,
x_unit, 0.761131, 1.656445, 1.608105, -0.048340,
x_unit, 0.773422, 1.653223, 1.624219, -0.029004,
x_unit, 0.785643, 1.656445, 1.590381, -0.066064,
x_unit, 0.797981, 1.654834, 1.596826, -0.058008,
x_unit, 0.810242, 1.654834, 1.600855, -0.053979,
x_unit, 0.822589, 1.653223, 1.600049, -0.053174,
x_unit, 0.834896, 1.653223, 1.562988, -0.090234,
x_unit, 0.847202, 1.654028, 1.570239, -0.083789,
x_unit, 0.859436, 1.653223, 1.596020, -0.057202,
x_unit, 0.871727, 1.658862, 1.610522, -0.048340,
x_unit, 0.883897, 1.647583, 1.595215, -0.052368,
x_unit, 0.896175, 1.647583, 1.585547, -0.062036,
x_unit, 0.908413, 1.647583, 1.590381, -0.057202,
x_unit, 0.920815, 1.649194, 1.600049, -0.049146,
x_unit, 0.933119, 1.647583, 1.575879, -0.071704,
x_unit, 0.945376, 1.648389, 1.589575, -0.058813,
x_unit, 0.957557, 1.650000, 1.583935, -0.066064,
x_unit, 0.969790, 1.650000, 1.600855, -0.049145,
x_unit, 0.982023, 1.648389, 1.598437, -0.049951,
x_unit, 0.994259, 1.647583, 1.596020, -0.051563,
x_unit, 1.006475, 1.647583, 1.596020, -0.051563,
x_unit, 1.018844, 1.650000, 1.591992, -0.058008,
x_unit, 1.031167, 1.650000, 1.591992, -0.058008,
x_unit, 1.043493, 1.650806, 1.585547, -0.065259,
x_unit, 1.055796, 1.650806, 1.600049, -0.050757,
x_unit, 1.067965, 1.650806, 1.602466, -0.048340,
x_unit, 1.080221, 1.654028, 1.623413, -0.030615,
x_unit, 1.092398, 1.650000, 1.591992, -0.058008,
x_unit, 1.104744, 1.650000, 1.603271, -0.046728,
x_unit, 1.117158, 1.650000, 1.593603, -0.056396,
x_unit, 1.129477, 1.649194, 1.603271, -0.045923,
x_unit, 1.141753, 1.649194, 1.582324, -0.066870,
x_unit, 1.154010, 1.650806, 1.596020, -0.054785,
x_unit, 1.166217, 1.650806, 1.596020, -0.054785,
x_unit, 1.178575, 1.647583, 1.594409, -0.053174,
x_unit, 1.190787, 1.648389, 1.599243, -0.049145,
x_unit, 1.203044, 1.661279, 1.581519, -0.079761,
x_unit, 1.215269, 1.654028, 1.594409, -0.059619,
x_unit, 1.227657, 1.658057, 1.600855, -0.057202,
x_unit, 1.240038, 1.660474, 1.603271, -0.057202,
x_unit, 1.252413, 1.658057, 1.585547, -0.072510,
x_unit, 1.264580, 1.656445, 1.620190, -0.036255,
x_unit, 1.276847, 1.654834, 1.590381, -0.064453,
x_unit, 1.285263, 1.656445, 1.600855, -0.055591,
x_unit, 1.297626, 1.654834, 1.595215, -0.059619,
x_unit, 1.309918, 1.657251, 1.586352, -0.070899,
x_unit, 1.322351, 1.653223, 1.611328, -0.041895,
x_unit, 1.334645, 1.654834, 1.591992, -0.062842,
x_unit, 1.346891, 1.653223, 1.599243, -0.053980,
x_unit, 1.359128, 1.654834, 1.600855, -0.053979,
x_unit, 1.371451, 1.654028, 1.603271, -0.050757,
x_unit, 1.383602, 1.657251, 1.600049, -0.057202,
x_unit, 1.391349, 1.658057, 1.615356, -0.042700,
x_unit, 1.403639, 1.657251, 1.618579, -0.038672,
x_unit, 1.415898, 1.654834, 1.583935, -0.070898,
x_unit, 1.428357, 1.656445, 1.589575, -0.066870,
x_unit, 1.440669, 1.654028, 1.599243, -0.054785,
x_unit, 1.452929, 1.653223, 1.604883, -0.048340,
x_unit, 1.465109, 1.650806, 1.596826, -0.053979,
x_unit, 1.477402, 1.654834, 1.596020, -0.058813,
x_unit, 1.489695, 1.654834, 1.600049, -0.054785,
x_unit, 1.501991, 1.657251, 1.600855, -0.056396,
x_unit, 1.514217, 1.654028, 1.598437, -0.055591,
x_unit, 1.526579, 1.649194, 1.566211, -0.082983,
x_unit, 1.538821, 1.645972, 1.603271, -0.042700,
x_unit, 1.551157, 1.645972, 1.593603, -0.052368,
x_unit, 1.563424, 1.647583, 1.579907, -0.067676,
x_unit, 1.575657, 1.647583, 1.600855, -0.046728,
x_unit, 1.587800, 1.649194, 1.600049, -0.049146,
x_unit, 1.600044, 1.648389, 1.602466, -0.045923,
x_unit, 1.612334, 1.649194, 1.600855, -0.048340,
x_unit, 1.624795, 1.650000, 1.566211, -0.083789,
x_unit, 1.637106, 1.650806, 1.608911, -0.041894,
x_unit, 1.649416, 1.649194, 1.591187, -0.058008,
x_unit, 1.661584, 1.650806, 1.579102, -0.071704,
x_unit, 1.673862, 1.650806, 1.574268, -0.076538,
x_unit, 1.686183, 1.649194, 1.589575, -0.059619,
x_unit, 1.698483, 1.648389, 1.583935, -0.064453,
x_unit, 1.710723, 1.650000, 1.604077, -0.045923,
x_unit, 1.723121, 1.650000, 1.600049, -0.049951,
x_unit, 1.735426, 1.649194, 1.587964, -0.061231,
x_unit, 1.747732, 1.650000, 1.599243, -0.050757,
x_unit, 1.759991, 1.650000, 1.591187, -0.058813,
x_unit, 1.772243, 1.650806, 1.587964, -0.062842,
x_unit, 1.784415, 1.647583, 1.577490, -0.070093,
x_unit, 1.796594, 1.650806, 1.595215, -0.055591,
x_unit, 1.808928, 1.650000, 1.587964, -0.062036,
x_unit, 1.821399, 1.652417, 1.579102, -0.073315,
x_unit, 1.833669, 1.650000, 1.574268, -0.075732,
x_unit, 1.845959, 1.657251, 1.600049, -0.057202,
x_unit, 1.858126, 1.658862, 1.590381, -0.068481,
x_unit, 1.870443, 1.660474, 1.611328, -0.049145,
x_unit, 1.882712, 1.656445, 1.600049, -0.056396,
x_unit, 1.895005, 1.654834, 1.575073, -0.079761,
x_unit, 1.907179, 1.652417, 1.600855, -0.051562,
x_unit, 1.919531, 1.657251, 1.599243, -0.058008,
x_unit, 1.931952, 1.656445, 1.599243, -0.057202,
x_unit, 1.944213, 1.657251, 1.603271, -0.053980,
x_unit, 1.956534, 1.654028, 1.600855, -0.053174,
x_unit, 1.968759, 1.656445, 1.589575, -0.066870,
x_unit, 1.981045, 1.658057, 1.594409, -0.063648,
x_unit, 1.993221, 1.654834, 1.593603, -0.061230,
x_unit, 2.005500, 1.654834, 1.600049, -0.054785,
x_unit, 2.017822, 1.656445, 1.610522, -0.045923,
x_unit, 2.030129, 1.654028, 1.596020, -0.058008,
x_unit, 2.042404, 1.654028, 1.589575, -0.064453,
x_unit, 2.054673, 1.654028, 1.618579, -0.035449,
x_unit, 2.066898, 1.653223, 1.607300, -0.045923,
x_unit, 2.079216, 1.650806, 1.598437, -0.052368,
x_unit, 2.091400, 1.656445, 1.595215, -0.061230,
x_unit, 2.103666, 1.654834, 1.602466, -0.052368,
x_unit, 2.115868, 1.656445, 1.575073, -0.081372,
x_unit, 2.128265, 1.656445, 1.590381, -0.066064,
x_unit, 2.140569, 1.654834, 1.604883, -0.049951,
x_unit, 2.152877, 1.654028, 1.587964, -0.066064,
x_unit, 2.165036, 1.654834, 1.615356, -0.039477,
x_unit, 2.177319, 1.649194, 1.590381, -0.058814,
x_unit, 2.189531, 1.645166, 1.596826, -0.048340,
x_unit, 2.201862, 1.648389, 1.587158, -0.061230,
x_unit, 2.214169, 1.644360, 1.593603, -0.050757,
x_unit, 2.226556, 1.649194, 1.589575, -0.059619,
x_unit, 2.238957, 1.650000, 1.590381, -0.059619,
x_unit, 2.251292, 1.648389, 1.596020, -0.052368,
x_unit, 2.263504, 1.647583, 1.598437, -0.049146,
x_unit, 2.275807, 1.649194, 1.596020, -0.053174,
