time, Vca, Voa, VoVca, Vcn, Von, VoVcn, Tbv, Vbv,
0.000000, 1.661279, 1.587158, -0.074121,   1.648389, 1.654028, 0.005640,   1.670142, 0.031421,
0.023930, 1.661279, 1.587158, -0.074121,   1.650000, 1.648389, -0.001611,   1.670142, 0.026587,
0.048272, 1.661279, 1.587158, -0.074121,   1.649194, 1.645972, -0.003223,   1.672559, 0.025781,
0.072488, 1.661279, 1.587158, -0.074121,   1.649194, 1.662085, 0.012891,   1.670142, 0.026587,
0.096381, 1.661279, 1.587158, -0.074121,   1.650000, 1.647583, -0.002417,   1.670142, 0.022559,
0.120499, 1.661279, 1.587158, -0.074121,   1.650000, 1.645166, -0.004834,   1.670142, 0.023364,
0.144830, 1.661279, 1.587158, -0.074121,   1.647583, 1.643555, -0.004028,   1.670142, 0.024976,
0.168929, 1.661279, 1.587158, -0.074121,   1.649194, 1.656445, 0.007251,   1.670947, 0.027393,
0.192819, 1.661279, 1.587158, -0.074121,   1.654834, 1.639526, -0.015308,   1.677393, 0.039478,
0.216943, 1.661279, 1.587158, -0.074121,   1.660474, 1.662891, 0.002417,   1.670142, 0.039478,
0.241039, 1.661279, 1.587158, -0.074121,   1.656445, 1.645166, -0.011279,   1.670947, 0.039478,
0.265163, 1.661279, 1.587158, -0.074121,   1.662891, 1.662891, 0.000000,   1.674170, 0.036255,
0.289027, 1.661279, 1.587158, -0.074121,   1.657251, 1.649194, -0.008057,   1.676587, 0.037866,
0.313170, 1.661279, 1.587158, -0.074121,   1.658057, 1.625830, -0.032227,   1.674976, 0.039478,
0.337416, 1.661279, 1.587158, -0.074121,   1.656445, 1.656445, 0.000000,   1.677393, 0.037866,
0.361385, 1.661279, 1.587158, -0.074121,   1.654834, 1.652417, -0.002417,   1.677393, 0.038672,
0.385603, 1.661279, 1.587158, -0.074121,   1.654028, 1.662085, 0.008057,   1.673364, 0.037866,
0.409500, 1.661279, 1.587158, -0.074121,   1.652417, 1.643555, -0.008862,   1.678198, 0.036255,
0.433713, 1.661279, 1.587158, -0.074121,   1.654028, 1.653223, -0.000806,   1.677393, 0.037866,
0.457936, 1.661279, 1.587158, -0.074121,   1.656445, 1.650000, -0.006445,   1.672559, 0.036255,
0.482043, 1.661279, 1.587158, -0.074121,   1.656445, 1.647583, -0.008862,   1.676587, 0.036255,
0.506044, 1.661279, 1.587158, -0.074121,   1.658862, 1.652417, -0.006445,   1.672559, 0.038672,
0.530158, 1.661279, 1.587158, -0.074121,   1.644360, 1.649194, 0.004834,   1.668530, 0.022559,
0.554167, 1.661279, 1.587158, -0.074121,   1.645166, 1.652417, 0.007251,   1.668530, 0.028198,
0.578043, 1.661279, 1.587158, -0.074121,   1.647583, 1.640332, -0.007251,   1.670142, 0.025781,
0.602187, 1.661279, 1.587158, -0.074121,   1.647583, 1.661279, 0.013696,   1.670142, 0.026587,
0.626048, 1.661279, 1.587158, -0.074121,   1.645166, 1.641138, -0.004028,   1.670142, 0.026587,
0.650275, 1.661279, 1.587158, -0.074121,   1.650000, 1.647583, -0.002417,   1.665308, 0.027393,
0.674507, 1.661279, 1.587158, -0.074121,   1.649194, 1.633081, -0.016113,   1.664502, 0.027393,
0.698603, 1.661279, 1.587158, -0.074121,   1.650000, 1.618579, -0.031421,   1.669336, 0.023364,
0.722724, 1.661279, 1.587158, -0.074121,   1.650000, 1.643555, -0.006445,   1.670142, 0.027393,
0.747039, 1.661279, 1.587158, -0.074121,   1.650000, 1.669336, 0.019336,   1.666919, 0.025781,
0.770980, 1.661279, 1.587158, -0.074121,   1.650000, 1.648389, -0.001611,   1.672559, 0.022559,
0.795046, 1.661279, 1.587158, -0.074121,   1.649194, 1.639526, -0.009668,   1.668530, 0.021753,
0.819165, 1.661279, 1.587158, -0.074121,   1.650806, 1.650806, 0.000000,   1.666919, 0.023364,
0.843272, 1.661279, 1.587158, -0.074121,   1.662085, 1.652417, -0.009668,   1.672559, 0.036255,
0.867398, 1.661279, 1.587158, -0.074121,   1.661279, 1.644360, -0.016919,   1.677393, 0.036255,
0.891499, 1.661279, 1.587158, -0.074121,   1.658862, 1.673364, 0.014502,   1.674976, 0.037866,
0.915389, 1.661279, 1.587158, -0.074121,   1.662085, 1.648389, -0.013696,   1.676587, 0.039478,
0.939711, 1.661279, 1.587158, -0.074121,   1.662085, 1.653223, -0.008862,   1.677393, 0.034644,
0.963822, 1.661279, 1.587158, -0.074121,   1.661279, 1.656445, -0.004834,   1.674976, 0.036255,
0.988058, 1.661279, 1.587158, -0.074121,   1.654028, 1.678198, 0.024170,   1.677393, 0.037866,
1.011936, 1.661279, 1.587158, -0.074121,   1.658862, 1.658057, -0.000806,   1.678198, 0.037866,
1.033489, 1.661279, 1.587158, -0.074121,   1.654028, 1.654834, 0.000806,   1.677393, 0.034644,
1.057510, 1.661279, 1.587158, -0.074121,   1.660474, 1.647583, -0.012891,   1.677393, 0.040283,
1.081502, 1.661279, 1.587158, -0.074121,   1.654834, 1.650806, -0.004028,   1.674976, 0.037866,
1.105497, 1.661279, 1.587158, -0.074121,   1.654834, 1.647583, -0.007251,   1.674170, 0.038672,
1.129606, 1.661279, 1.587158, -0.074121,   1.656445, 1.656445, 0.000000,   1.673364, 0.033838,
1.153504, 1.661279, 1.587158, -0.074121,   1.654028, 1.643555, -0.010474,   1.669336, 0.028198,
1.177715, 1.661279, 1.587158, -0.074121,   1.645972, 1.648389, 0.002417,   1.666113, 0.022559,
1.201618, 1.661279, 1.587158, -0.074121,   1.645972, 1.633887, -0.012085,   1.670947, 0.024976,
1.225718, 1.661279, 1.587158, -0.074121,   1.648389, 1.627441, -0.020947,   1.669336, 0.025781,
1.249937, 1.661279, 1.587158, -0.074121,   1.648389, 1.639526, -0.008862,   1.670947, 0.024976,
1.274064, 1.661279, 1.587158, -0.074121,   1.649194, 1.641943, -0.007251,   1.668530, 0.025781,
1.298158, 1.661279, 1.587158, -0.074121,   1.647583, 1.645166, -0.002417,   1.669336, 0.025781,
1.322292, 1.661279, 1.587158, -0.074121,   1.647583, 1.654834, 0.007251,   1.670142, 0.026587,
