cmd: Cx46000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->      46000,      uintl (  Cx)
unit_shunt, time, vovcn, vovcnkf,
shunt_unit, 0.000000, 0.002417, 0.003519,
shunt_unit, 0.015009, 0.002417, 0.003508,
shunt_unit, 0.030009, 0.007251, 0.003535,
shunt_unit, 0.044999, 0.008057, 0.003567,
shunt_unit, 0.060023, 0.016113, 0.003659,
shunt_unit, 0.075334, 0.009668, 0.003701,
shunt_unit, 0.090315, 0.005640, 0.003714,
shunt_unit, 0.105317, 0.000000, 0.003685,
shunt_unit, 0.120335, -0.000806, 0.003651,
shunt_unit, 0.135646, 0.016113, 0.003739,
shunt_unit, 0.150762, -0.004834, 0.003676,
shunt_unit, 0.165994, 0.016113, 0.003763,
shunt_unit, 0.181328, 0.000000, 0.003735,
shunt_unit, 0.196336, -0.002417, 0.003690,
shunt_unit, 0.211652, 0.004028, 0.003690,
shunt_unit, 0.226670, 0.019336, 0.003798,
shunt_unit, 0.241643, 0.000000, 0.003770,
shunt_unit, 0.256649, 0.011279, 0.003820,
shunt_unit, 0.271835, 0.004028, 0.003820,
shunt_unit, 0.286997, -0.003223, 0.003770,
shunt_unit, 0.302346, 0.003223, 0.003765,
shunt_unit, 0.317318, 0.006445, 0.003781,
shunt_unit, 0.332330, 0.010474, 0.003825,
shunt_unit, 0.347420, 0.025781, 0.003969,
shunt_unit, 0.362324, -0.011279, 0.003867,
shunt_unit, 0.378002, 0.011279, 0.003914,
shunt_unit, 0.393023, 0.017725, 0.004003,
shunt_unit, 0.408004, 0.004834, 0.004007,
shunt_unit, 0.423084, 0.012085, 0.004058,
shunt_unit, 0.438011, 0.001611, 0.004040,
shunt_unit, 0.453021, 0.010474, 0.004080,
shunt_unit, 0.468088, -0.001611, 0.004043,
shunt_unit, 0.483648, 0.004028, 0.004041,
shunt_unit, 0.498742, 0.010474, 0.004080,
shunt_unit, 0.513653, 0.012085, 0.004129,
shunt_unit, 0.528671, 0.011279, 0.004172,
shunt_unit, 0.543662, 0.014502, 0.004235,
shunt_unit, 0.558659, 0.016113, 0.004307,
shunt_unit, 0.574030, 0.001611, 0.004289,
shunt_unit, 0.588993, -0.008862, 0.004208,
shunt_unit, 0.604336, 0.010474, 0.004244,
shunt_unit, 0.619312, 0.004834, 0.004247,
shunt_unit, 0.634335, 0.008057, 0.004268,
shunt_unit, 0.649433, 0.007251, 0.004285,
shunt_unit, 0.664325, 0.006445, 0.004297,
shunt_unit, 0.679661, 0.003223, 0.004289,
shunt_unit, 0.694659, 0.016919, 0.004362,
shunt_unit, 0.709672, 0.015308, 0.004426,
shunt_unit, 0.724704, 0.016919, 0.004498,
shunt_unit, 0.739668, 0.004834, 0.004498,
shunt_unit, 0.754669, 0.008862, 0.004523,
shunt_unit, 0.769768, 0.016919, 0.004593,
shunt_unit, 0.785010, 0.007251, 0.004607,
shunt_unit, 0.800035, 0.001611, 0.004589,
shunt_unit, 0.814989, 0.000806, 0.004566,
shunt_unit, 0.829988, -0.006445, 0.004503,
shunt_unit, 0.845336, 0.012085, 0.004544,
shunt_unit, 0.860313, 0.030615, 0.004690,
shunt_unit, 0.875466, -0.000806, 0.004658,
shunt_unit, 0.890644, -0.010474, 0.004573,
shunt_unit, 0.906004, 0.000806, 0.004551,
shunt_unit, 0.921021, -0.001611, 0.004515,
shunt_unit, 0.936332, -0.017725, 0.004392,
shunt_unit, 0.951786, 0.008862, 0.004415,
shunt_unit, 0.966674, 0.004028, 0.004412,
shunt_unit, 0.982113, -0.001611, 0.004378,
shunt_unit, 0.997416, 0.010474, 0.004410,
shunt_unit, 1.012342, 0.008057, 0.004428,
shunt_unit, 1.027368, 0.022559, 0.004524,
shunt_unit, 1.042330, 0.021753, 0.004615,
shunt_unit, 1.057366, -0.001611, 0.004581,
shunt_unit, 1.072806, 0.016919, 0.004645,
shunt_unit, 1.088014, 0.004028, 0.004641,
shunt_unit, 1.103010, 0.002417, 0.004628,
shunt_unit, 1.118004, 0.013696, 0.004675,
shunt_unit, 1.133009, 0.002417, 0.004662,
shunt_unit, 1.149447, 0.007251, 0.004674,
shunt_unit, 1.164312, 0.011279, 0.004707,
shunt_unit, 1.179668, 0.015308, 0.004761,
shunt_unit, 1.194664, 0.020947, 0.004843,
shunt_unit, 1.209685, 0.006445, 0.004850,
shunt_unit, 1.224744, 0.004834, 0.004849,
shunt_unit, 1.239662, 0.012891, 0.004889,
shunt_unit, 1.254727, 0.007251, 0.004900,
shunt_unit, 1.269814, 0.009668, 0.004923,
shunt_unit, 1.285015, 0.000806, 0.004901,
shunt_unit, 1.300044, 0.006445, 0.004908,
shunt_unit, 1.315002, 0.008862, 0.004927,
shunt_unit, 1.330001, 0.011279, 0.004958,
shunt_unit, 1.345016, 0.017725, 0.005020,
shunt_unit, 1.360006, 0.016919, 0.005077,
shunt_unit, 1.375313, 0.025781, 0.005178,
shunt_unit, 1.390322, 0.008057, 0.005191,
shunt_unit, 1.405326, 0.005640, 0.005193,
shunt_unit, 1.420321, -0.016113, 0.005089,
shunt_unit, 1.435652, 0.004028, 0.005083,
shunt_unit, 1.450789, 0.003223, 0.005073,
shunt_unit, 1.465675, 0.005640, 0.005075,
shunt_unit, 1.481006, 0.002417, 0.005062,
shunt_unit, 1.496016, -0.003223, 0.005022,
shunt_unit, 1.511322, 0.000806, 0.005001,
shunt_unit, 1.526358, 0.004028, 0.004995,
shunt_unit, 1.541319, 0.003223, 0.004986,
shunt_unit, 1.556349, 0.023364, 0.005071,
shunt_unit, 1.571457, 0.008862, 0.005088,
shunt_unit, 1.586669, 0.012891, 0.005124,
shunt_unit, 1.601687, 0.001611, 0.005107,
shunt_unit, 1.616699, 0.016919, 0.005161,
shunt_unit, 1.631677, 0.002417, 0.005147,
shunt_unit, 1.646662, 0.016919, 0.005201,
shunt_unit, 1.661672, 0.029809, 0.005313,
shunt_unit, 1.677001, -0.009668, 0.005244,
shunt_unit, 1.692327, 0.006445, 0.005248,
shunt_unit, 1.707326, 0.013696, 0.005286,
shunt_unit, 1.722329, 0.004028, 0.005280,
shunt_unit, 1.737340, 0.001611, 0.005263,
shunt_unit, 1.752424, 0.005640, 0.005264,
shunt_unit, 1.767344, 0.006445, 0.005268,
shunt_unit, 1.782655, 0.001611, 0.005251,
shunt_unit, 1.797745, 0.012085, 0.005281,
shunt_unit, 1.812677, 0.015308, 0.005325,
shunt_unit, 1.827661, 0.021753, 0.005397,
shunt_unit, 1.842654, 0.004834, 0.005394,
shunt_unit, 1.857675, 0.011279, 0.005419,
shunt_unit, 1.872803, 0.005640, 0.005419,
shunt_unit, 1.888012, 0.011279, 0.005444,
shunt_unit, 1.903011, -0.004028, 0.005402,
shunt_unit, 1.918345, -0.004028, 0.005361,
shunt_unit, 1.933659, 0.008862, 0.005375,
shunt_unit, 1.948826, 0.006445, 0.005379,
shunt_unit, 1.963690, 0.004028, 0.005373,
shunt_unit, 1.979031, 0.016919, 0.005422,
shunt_unit, 1.994006, 0.007251, 0.005429,
shunt_unit, 2.009010, 0.007251, 0.005436,
shunt_unit, 2.024079, 0.004028, 0.005430,
shunt_unit, 2.039019, 0.016113, 0.005474,
shunt_unit, 2.054111, -0.008862, 0.005413,
shunt_unit, 2.069453, 0.008862, 0.005427,
shunt_unit, 2.084661, 0.002417, 0.005414,
shunt_unit, 2.099741, -0.024976, 0.005287,
